"title","location","price_cuisine","price","cuisine","michelin_stars","distinction"
"Pastis Restaurant","Montpellier, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Pavyllon","Paris, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"L'Ekrin by Laurent Azoulay","Méribel, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Les Trois Rochers","Combrit, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Le Charlemagne","Pernand-Vergelesses, France","€€€€ · Creative","€€€€","Creative",1,"1 Star"
"Holen","Rennes, France","€€€ · Farm to table","€€€","Farm to table",1,"1 Star"
"Le Restaurant du Cerisier","Lille, France","€€€€ · Creative","€€€€","Creative",1,"1 Star"
"La Maison dans le Parc","Nancy, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Le 7ème Continent","Rixheim, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"L'Aspérule","Dijon, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"La Galinette","Perpignan, France","€€€ · Creative","€€€","Creative",1,"1 Star"
"Le Petit Hôtel du Grand Large","Saint-Pierre-Quiberon, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Le Cerf","Marlenheim, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"La Tour des Vents","Monbazillac, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Les Fresques - Château des Vigiers","Monestier, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Äponem - Auberge du Presbytère","Vailhan, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Hostellerie de Levernois","Levernois, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"La Grange de Belle-Église","Belle-Église, France","€€€ · Classic Cuisine","€€€","Classic Cuisine",1,"1 Star"
"Intuition","Saint-Lô, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"L'Or Bleu","Théoule-sur-Mer, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Ursus","Tignes, France","€€€€ · Creative","€€€€","Creative",1,"1 Star"
"Origines","Le Broc, France","€€€€ · Creative","€€€€","Creative",1,"1 Star"
"Le Bénaton","Beaune, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Le Pot d'Étain","Danjoutin, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"OKA","Paris, France","€€€€ · Creative","€€€€","Creative",1,"1 Star"
"Haut Bonheur de la Table","Cassel, France","€€ · Modern Cuisine","€€","Modern Cuisine",1,"1 Star"
"La Sommelière","Lyon, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Auberge Grand'Maison","Mûr-de-Bretagne, France","€€€ · Traditional Cuisine","€€€","Traditional Cuisine",1,"1 Star"
"Moulin de la Tardoire","Montbron, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"L'Écrin de Yohann Chapuis","Tournus, France","€€€€ · Creative","€€€€","Creative",1,"1 Star"
"La Mutinerie","Lyon, France","€€€ · Creative","€€€","Creative",1,"1 Star"
"Auberge Nicolas Flamel","Paris, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Auberge de la Tour","Marcolès, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Une Table, au Sud","Marseille, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Saisons","Marseille, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Le Carmin","Beaune, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Sola","Paris, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"La Table de Philippe Girardon","Chonas-l'Amballan, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Auberge Saint-Laurent","Sierentz, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Auberge au Bœuf","Sessenheim, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Ambroisie","Saint-Didier-de-la-Tour, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"L'Épuisette","Marseille, France","€€€€ · Seafood","€€€€","Seafood",1,"1 Star"
"Ogata","Paris, France","€€€€ · Japanese","€€€€","Japanese",1,"1 Star"
"La Liégeoise","Wimereux, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Accents Table Bourse","Paris, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Le Jardin Secret","La Wantzenau, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Michel Sarran","Toulouse, France","€€€€ · Creative","€€€€","Creative",1,"1 Star"
"Buerehiesel","Strasbourg, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Au Déjeuner de Sousceyrac","Sousceyrac-en-Quercy, France","€€ · Classic Cuisine","€€","Classic Cuisine",1,"1 Star"
"La Table d'Aurélien Largeau","Biarritz, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"1741","Strasbourg, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Au Crocodile","Strasbourg, France","€€€€ · Classic Cuisine","€€€€","Classic Cuisine",1,"1 Star"
"Le Cénacle","Toulouse, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Noni","Valletta, Malta","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"De Mondion","Mdina, Malta","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Under Grain","Valletta, Malta","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Fernandõ Gastrotheque","Sliema, Malta","€€€ · Mediterranean Cuisine","€€€","Mediterranean Cuisine",1,"1 Star"
"Bahia","Balzan, Malta","€€€ · Creative","€€€","Creative",1,"1 Star"
"ION Harbour by Simon Rogan","Valletta, Malta","€€€€ · Mediterranean Cuisine","€€€€","Mediterranean Cuisine",1,"1 Star"
"[aend]","Vienna, Austria","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"APRON","Vienna, Austria","€€€€ · Creative","€€€€","Creative",1,"1 Star"
"Pramerl & the Wolf","Vienna, Austria","€€€€ · Creative","€€€€","Creative",1,"1 Star"
"Edvard","Vienna, Austria","€€€€ · Creative","€€€€","Creative",1,"1 Star"
"The Glass Garden","Salzburg, Austria","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Esszimmer","Salzburg, Austria","€€€ · Creative","€€€","Creative",1,"1 Star"
"TIAN","Vienna, Austria","€€€€ · Vegetarian","€€€€","Vegetarian",1,"1 Star"
"Kilian Stuba","Hirschegg, Austria","€€€€ · Creative","€€€€","Creative",1,"1 Star"
"Pfefferschiff","Salzburg, Austria","€€€€ · Classic Cuisine","€€€€","Classic Cuisine",1,"1 Star"
"Xin Rong Ji (West Nanjing Road)","Shanghai, China","¥¥¥ · Taizhou","¥¥¥","Taizhou",1,"1 Star"
"Seventh Son","Shanghai, China","¥¥¥ · Cantonese","¥¥¥","Cantonese",1,"1 Star"
"T'ang Court","Shanghai, China","¥¥¥¥ · Cantonese","¥¥¥¥","Cantonese",1,"1 Star"
